name,regions
Metropolitan Antonius,"Jerusalem, The Near East"
Metropolitan Wissa,Baliana
Metropolitan Pephnotious,Samalout
Metropolitan Benyamin,Monufia
Metropolitan Tadros,Portsaid
Metropolitan Serapion,"Los Angeles, Southern California, Hawaii"
Metropolitan Poula,"Tanta, the Papal Vicar of Diocese of Beheira, Matrouh, the Five Western Cities, St. Macarius of Alexandria Monastery in Mount Al-Qalali"
Metropolitan Bessada,"Akhmim, Saqolta"
Metropolitan Endrawes,"Abu Tej, Sadfa, Alghanaim"
Metropolitan Eshiaa,"Tahta, Gehina"
Metropolitan Marcos,Shubra El-Khaymah
Metropolitan Abraam,Fayoum
Metropolitan Antonius Morcos,South Africa
Metropolitan Barsoum,"Dairout, Sunbo"
Metropolitan Bakhoum,"Sohag, Manshaa, Maragha"
Metropolitan Demetrius,"Mallawi, Ansina, Ashmonin"
Metropolitan Tomas,"Qusiyyah, Mir"
Metropolitan Danial,"Maadi, Basatin, Dar El-Salam"
Metropolitan Sharoubeem,"Qena, Qift"
Metropolitan Biemen,"Naqada, Qous"
Metropolitan Takla,Dishna
Metropolitan Maximous,"Banha, Quesna"
Metropolitan Youssef,Southern USA
Bishop Missael,"Birmingham, UK"
Bishop Youannes,"Assiut, Sahil Selim, Elbadary"
Bishop Sarabamon,"Atbara, Omdurman, North Sudan"
Bishop Antony,"Ireland, Scotland, NE England, UK"
Bishop Barnaba,"Turin, Rome, Italy"
Bishop Demian,North Germany
Bishop Ghobrial,Bani Suef
Bishop Georgeos,Mataai
Bishop Stephanos,"Beba, Fashn, Samasta"
Bishop Temotheos,"Zagazig, Minya El Qamh"
Bishop Angaelos,"London, UK"
Bishop David,"New York, New England, USA"
Bishop Gabriel,"Austria, The German Districts of Switzerland"
Bishop Elia,"Khartoum, South Sudan"
Bishop Saraphem,Ismailia
Bishop Abollo,South Sinai
Bishop Aghathon,"Maghagha, Eladwa"
Bishop Cosman,North Sinai
Bishop Daniel,"Sydney, Australia"
Bishop Macarius,Minya
Bishop Abakir,Scandinavia
Bishop Aghathon,Brazil
Bishop Youssef,Bolivia
Bishop Theodosius,Mid Giza
Bishop Salib,"Mit Ghamr, Dakadous, Bilad El Sharkia"
Bishop Merkorus,Gerga
Bishop Mina,"Mississauga, Vancouver, Western Canada"
Bishop Makar,"Sharqia Citis, 10th Ramadan City"
Bishop Samuel,Tamouh
Bishop Domadious,6th October City
Bishop Youhanna,North Giza
Bishop Zosima,Atfih
Bishop Arsany,Netherlands
Bishop Pavlos,Greece
Bishop Louka,"The French Districts of Switzerland, South France"
Bishop Bemwa,Suez
Bishop Esehak,Tema
Bishop Karas,"Pennsylvania, Delaware, Maryland, West Virginia, USA"
Bishop Marcos,"Damietta, Kafr El Sheikh, ElBarari"
Bishop Marc,"Paris, North France"
Bishop Peter,"North, South Carolina, Kentucky, USA"
Bishop Antonio,"Milan, Italy"
Bishop Saraphim,"Ohio, Michigan, Indiana, USA"
Bishop Giovanni,"Hungary, Romania, Czech, Slovenia, Poland"
Bishop Arsanious,"New Valley, The Oases"
Bishop Mikhael,"Helwan, Maasarah"
Bishop Theophilus,Manfalout
Bishop Elarion,Red Sea
Bishop Boules,"Ottawa, Montreal, Eastern Canada"
Bishop Philobatir,"Abu Qurqas, Minya"
Bishop Fam,East Minya
Bishop Joseph,"Namibia, Botswana, Zimbabwe, Malawi"
Bishop Axios,Mansoura
Bishop Bishoy,"Aswan, Kom Ombo, Edfu"
Bishop Anianos,"Bani Mazar, Bahnasa"
Bishop Nofer,Shibin El Qanater
Bishop Bisenti,"Abnoub, Fattah, New Assiut"
Bishop Bidaba,"Nag Hammadi, Bahghoura, Farshout"
